Date,SPY,XLE,XLF,XLK,XLI,IEF,GLD,USDU
1042017,-0.010864533,0.013100494,-0.049580168,0.013100494,-0.020171669,0.008117649,0.006017961,-0.014125389
1052017,0.012213698,0.022863587,-0.00504838,0.022863587,0.021355156,0.007199716,0.012806445,-0.00881701
1062017,0.01378418,0.037925979,-0.011416533,0.037925979,0.018351293,0.005831471,-0.000332759,-0.015196442
1072017,0.003760813,-0.030008843,0.06116339,-0.030008843,0.01063517,-0.004582055,-0.030207182,-0.009032744
1082017,0.018857057,0.045495905,0.018137889,0.045495905,-0.000730707,0.000657586,0.033464913,-0.026965401
1092017,0.00185885,0.026631836,-0.020981789,0.026631836,0.003510282,0.013518607,0.046247093,0
1102017,0.014399835,0.004577823,0.043671613,0.004577823,0.034397318,-0.014264552,-0.038409681,0.011709562
1112017,0.026044789,0.067510549,0.034870207,0.067510549,0.010990545,-0.004698365,-0.001568004,0.015817901
1122017,0.026042477,0.003162071,0.031823288,0.003162071,0.03665501,-0.002077049,-0.000330641,-0.015191796
1012018,0.011633124,0.011977904,0.019230806,0.011977904,0.020704505,-0.002459745,0.03075907,-0.003470883
1022018,0.049395203,0.062139823,0.056603774,0.062139823,0.043466848,-0.022192754,0.020214952,-0.033281734
1032018,-0.034368672,0.001906232,-0.026954212,0.001906232,-0.032062623,-0.009117304,-0.023824485,0.01641309
1042018,-0.032644397,-0.046392476,-0.045360078,-0.046392476,-0.034037559,0.007635062,0.020136931,-0.010240252
1052018,0.005027641,0.003222821,-0.006528872,0.003222821,-0.026461442,-0.01398875,-0.021713383,0.027457263
1062018,0.032364457,0.076487682,0.004381198,0.076487682,0.038274885,0.003448256,-0.010653753,0.018590201
1072018,-0.010645696,-0.021315901,-0.04143944,-0.021315901,-0.050754679,0.005596466,-0.035894941,0.012927757
1082018,0.044710725,0.037171437,0.066742432,0.037171437,0.078232686,-0.011325874,-0.02157728,-0.005255218
1092018,0.029407579,0.05347893,0.004976929,0.05347893,0.002348963,0.009875568,-0.024907006,0.014339585
1102018,0.007831869,0.007441834,-0.018747789,0.007441834,0.033198842,-0.013983962,-0.003104195,-0.01339282
1112018,-0.070213208,-0.084553438,-0.050108147,-0.084553438,-0.115801448,-0.004661321,0.034964412,0.028657655
1122018,0.031958736,0.00345817,0.038330209,0.00345817,0.053299218,0.010761269,0.002320949,0.009530791
1012019,-0.122377634,-0.128230904,-0.14217843,-0.128230904,-0.141388235,0.028292547,0.040737565,-0.012708787
1022019,0.098260015,0.09224179,0.106945083,0.09224179,0.134257865,0.001533918,0.029171826,-0.015446892
1032019,0.03808998,0.077062286,0.029638183,0.077062286,0.068491259,-0.006987681,-0.011289903,0.013821405
1042019,0.015190451,0.046205588,-0.031028037,0.046205588,-0.015472669,0.022749181,-0.008746364,0.004421555
1052019,0.035194902,0.063972149,0.082175887,0.063972149,0.033412559,-0.003770038,-0.011192835,0.006969956
1062019,-0.06585913,-0.094339623,-0.0741533,-0.094339623,-0.080766773,0.030085147,0.025282963,0.006557304
1072019,0.077621573,0.108750028,0.07508668,0.108750028,0.085082761,0.008633386,0.060198261,-0.011219653
1082019,0.003101028,0.013528773,0.011103152,0.013528773,-0.004740589,0.00018208,0.006536941,0.020131808
1092019,-0.023622308,-0.025213211,-0.054197627,-0.025213211,-0.033985569,0.036780782,0.094698755,0.010405418
1102019,0.024675578,0.025611715,0.053557976,0.025611715,0.038246308,-0.017825773,-0.047530351,0.004261399
1112019,0.024115078,0.037829126,0.028083933,0.037829126,0.014760543,0.002950398,0.029984789,-0.020509193
1122019,0.031713179,0.050625374,0.044260062,0.050625374,0.037566419,-0.011677634,-0.034385766,0.012635306
1012020,0.02844977,0.04875287,0.022847615,0.04875287,0.000243862,-0.001623532,0.047625937,-0.042780715
1022020,-0.000587263,0.031783805,-0.023308482,0.031783805,-0.006093845,0.026379971,0.033365793,0.008938547
1032020,-0.077748615,-0.057418303,-0.117003679,-0.057418303,-0.093194429,0.034680063,0.00901383,0.013289073
1042020,-0.168438337,-0.137505593,-0.25975977,-0.137505593,-0.237592924,0.038962092,-0.01200002,0.033151183
1052020,0.150536344,0.152210422,0.128296203,0.152210422,0.118836482,-0.002783886,0.066126877,-0.005641749
1062020,0.064175799,0.090715882,0.056179775,0.090715882,0.071654976,-0.001395829,0.031139228,-0.015602872
1072020,0.019596904,0.072300234,-0.01106383,0.072300234,0.026331347,-0.000740043,0.025349896,-0.00684438
1082020,0.060567883,0.070485866,0.038295998,0.070485866,0.035168681,0.00814612,0.107752168,-0.02538988
